ds,yhat,yhat_lower,yhat_upper
2022-10-04,42.60798900137742,25.066529257493222,62.805085313046895
2022-10-07,38.78127107784727,19.59206138530031,58.50594522998423
2022-10-08,39.535893339901996,21.49029626802203,58.07076888997653
2022-10-09,36.36660116478176,17.3638206206618,53.35560485962112
2022-10-10,39.39425069343594,21.565083306742643,57.75334845890458
2022-10-11,41.19429089396948,21.590647191566177,59.540461402214845
2022-10-12,38.3002289391796,19.36617440916084,56.854814383538944
2022-10-13,37.37482510184397,19.62547915172506,55.12532450308736
2022-10-14,35.82811931563813,17.28823237845166,53.92384724881506
2022-10-15,35.34177184992782,16.843199691362184,53.76756931810587
2022-10-16,30.751667097407513,11.30695331029967,49.09228074430296
2022-10-17,32.3364976520481,13.838033285143869,51.791483163967264
2022-10-18,32.83839425206341,14.874708200179727,50.88875533203967
2022-10-19,28.947807957514918,10.485728038992095,47.542026512548354
2022-10-21,25.863264119121936,8.465809689598293,43.70788674877295
2022-10-22,25.88290590774053,7.030199756228602,43.01529269600241
2022-10-23,22.329274919808242,4.300771207549654,41.21147530228568
2022-10-24,25.40288988422052,6.849976482959933,42.96864840677141
2022-10-25,27.71967165678926,10.20872068422351,47.90333934500503
2022-10-26,25.808619880877302,6.390072626163018,45.115800701961476
2022-10-27,26.281902274810925,7.619932511544157,44.35819468536606
2022-10-28,26.456637121275477,8.163537066307288,44.78880508839161
2022-10-29,27.88750038756813,9.759175838668712,46.09674463836831
2022-10-30,25.26126554992055,6.6518212994368655,43.48324182399901
2022-10-31,28.699755721593704,10.232468468244289,46.1376472660281
2022-11-01,30.795775612036564,11.612205465739212,48.22840742154736
2022-11-02,28.11263483930157,9.32782938609213,46.474483173135525
2022-11-03,27.350104813456923,8.55159361322851,46.389546289880755
2022-11-04,25.956615102907996,6.745710925471299,45.0698730695198
2022-11-05,25.647925276078936,7.485692704430711,43.504199863968914
2022-11-06,21.2849340857641,2.412631133864651,39.33426591468328
2022-11-07,23.15893126650485,4.4257825980365,39.522177150845465
2022-11-08,24.010752762538218,4.706538051956989,42.613647532351266
2022-11-09,20.516203787791703,1.213434944420739,38.17272176595596
2022-11-10,19.442015771684765,2.050031042503806,38.96392675092062
2022-11-11,18.253089271899576,-1.8842041299514107,37.38881995635178
2022-11-12,18.63163452177003,2.2203045381569506,37.827171881737
2022-11-13,15.360648909105223,-3.76359370975788,34.519763790961655
2022-11-14,18.61925479085089,1.408022086503899,37.554475851460985
2022-11-15,21.015118002787595,1.3193238438822101,38.45863749928738
2022-11-16,19.08476062411986,-0.3134492738761994,37.86780643564219
2022-11-17,19.46435353693993,0.910954597876789,37.89850465329073
2022-11-18,19.51012038270394,2.5437819592890953,37.43305420422434
2022-11-19,20.827583079090694,4.033319211941513,39.136870464166
2022-11-20,18.161093208047028,-1.0127096700264602,36.400500360957615
2022-11-21,21.690664835026098,3.624320635376721,39.38278597190094
2022-11-22,24.06135106287261,5.844457220937546,42.59837693802219
2022-11-23,21.876512517358734,2.7140378946713,41.888182925527516
2022-11-24,21.858534522284543,2.548890952812266,39.68317370661618
2022-11-25,21.45740979095894,3.6632879749191383,39.63117859436115
2022-11-26,22.367860266338965,5.1802839202138875,40.50084224115171
2022-11-27,19.40787441158153,2.757570991570801,39.13204613584587
2022-11-28,22.80693181472931,3.422043719141295,40.367030227247064
2022-11-29,25.230097985257707,6.9923398417284925,43.937735492956314
2022-11-30,23.26986197400845,4.885947015123148,42.246956340495565
2022-12-01,23.609331715583487,5.579580827436131,41.41488195381675
2022-12-02,23.63680050563562,5.0323752636175225,42.847714449009054
2022-12-03,24.97155117300988,6.529458024923144,44.15721193102541
2022-12-04,22.35266676710802,2.9753313976167655,41.384791214773166
2022-12-05,25.937847492261312,7.397096077652123,44.95556118561492
